0.06375,85.2
0.065,71.5
0.06625,75.9
0.0675,75.7
0.06875,69.9
0.07,78.5
0.07125,76.6
0.0725,73.5
0.07375,73.4
0.075,76.2
0.07625,71.8
0.0775,74.3
0.07875,77.1
0.08,72.0
0.08125,72.0
0.0825,75.0
0.08375,75.1
0.085,72.6
0.08625,71.8
0.0875,69.4
0.08875,73.7
0.09,70.5
0.09125,74.5
0.0925,73.3
0.09375,75.2
0.095,69.6
0.09625,72.6
0.0975,72.8
0.09875,71.4
0.1,72.1
0.10125,72.5
0.1025,70.6
0.10375,73.7
0.105,72.5
0.10625,74.4
0.1075,76.2
0.10875,71.1
0.11,72.7
0.11125,80.0
0.1125,73.4
0.11375,74.3
0.115,73.6
0.11625,72.5
0.1175,72.8
0.11875,72.8
0.12,73.3
0.12125,70.7
0.1225,72.1
0.12375,71.2
0.125,71.8
