0.06375,352.0
0.065,324.7
0.06625,338.0
0.0675,342.8
0.06875,325.7
0.07,347.6
0.07125,340.3
0.0725,364.0
0.07375,341.9
0.075,326.9
0.07625,352.6
0.0775,343.2
0.07875,329.9
0.08,337.5
0.08125,333.1
0.0825,338.7
0.08375,342.3
0.085,340.4
0.08625,326.1
0.0875,343.3
0.08875,343.0
0.09,340.3
0.09125,338.0
0.0925,331.9
0.09375,336.8
0.095,342.5
0.09625,341.7
0.0975,325.0
0.09875,339.3
0.1,324.0
0.10125,325.2
0.1025,337.8
0.10375,350.3
0.105,338.4
0.10625,321.4
0.1075,323.9
0.10875,333.1
0.11,338.0
0.11125,335.7
0.1125,349.0
0.11375,341.7
0.115,335.2
0.11625,323.2
0.1175,325.3
0.11875,343.6
0.12,340.2
0.12125,320.2
0.1225,322.3
0.12375,335.3
0.125,330.0
